Manual Order,Game Name,Group,Category,Source Page(s),Start Page,End Page,Suggested Slug,Referee Introduction,Description,Alternate Names,Special Note,Variations,Variation Count,Called Variations,Duplicate Title Flag,Review Status,Squarespace HTML,Raw Entry Text,Source File,QA Reviewer,Last Reviewed,Publish Status,Published URL,Last Published,Editorial Notes
1,ALEXA,Team Games,Interrupt Games,13,13,13,alexa,"“The players will do a scene, and whenever they wish they can ask Alexa a question. After Alexa answers, they will begin a new scene based on the answer.”","The referee gets a suggestion for the game, and the players start a neutral scene. At some point in the scene, one player will stop and ask “Alexa” a question about something in the scene, based on the answer, a new scene will begin. This repeats until time is called. “Alexa” can either be the other team, the announcer, or the referee.",Hey Siri,,"●
May be played in a Head-To-Head round, with the teams switching scene initiations between Alexa’s answers.",1,,,Auto-extracted - needs human spot check,"<h1>ALEXA</h1>

<h2>Category</h2>
<p>Interrupt Games</p>

<h2>Referee Introduction</h2>
<blockquote><p>“The players will do a scene, and whenever they wish they can ask Alexa a question. After Alexa answers, they will begin a new scene based on the answer.”</p></blockquote>

<h2>Description</h2>
<p>The referee gets a suggestion for the game, and the players start a neutral scene. At some point in the scene, one player will stop and ask “Alexa” a question about something in the scene, based on the answer, a new scene will begin. This repeats until time is called. “Alexa” can either be the other team, the announcer, or the referee.</p>

<h2>Alternate Names</h2>
<p>Hey Siri</p>

<h2>Variations</h2>
<ul>
<li>May be played in a Head-To-Head round, with the teams switching scene initiations between Alexa’s answers.</li>
</ul>","ALEXA
“The players will do a scene, and whenever they wish they can ask Alexa a
question. After Alexa answers, they will begin a new scene based on the
answer.”
The referee gets a suggestion for the game, and the players start a
neutral scene. At some point in the scene, one player will stop and ask
“Alexa” a question about something in the scene, based on the answer, a
new scene will begin. This repeats until time is called. “Alexa” can either
be the other team, the announcer, or the referee.
Alternate Names: Hey Siri
Variations on this Game
●
May be played in a Head-To-Head round, with the teams
switching scene initiations between Alexa’s answers.",A-ComedySportz-Games-Manual-v2.2 copy.pdf,,,Not Started,,,
2,ARE YOU THINKING WHAT I’M THINKING?,Team Games,Interrupt Games,14,14,14,are-you-thinking-what-im-thinking,"“Every so often the players will share a thought, and must justify it into the world.”","The referee gets a suggestion for the game, and the players start a neutral scene. Every so often a player says, “Are you thinking what I’m thinking?” When this is said, all players in the scene look at each other and begin to speak in unison, sharing their thought. They must then justify this new information into the scene.",,,"●
May be played with the referee interrupting the players to have them say “Are you thinking what I’m thinking?”, and give them a one syllable sound to start with.",1,,,Auto-extracted - needs human spot check,"<h1>ARE YOU THINKING WHAT I’M THINKING?</h1>

<h2>Category</h2>
<p>Interrupt Games</p>

<h2>Referee Introduction</h2>
<blockquote><p>“Every so often the players will share a thought, and must justify it into the world.”</p></blockquote>

<h2>Description</h2>
<p>The referee gets a suggestion for the game, and the players start a neutral scene. Every so often a player says, “Are you thinking what I’m thinking?” When this is said, all players in the scene look at each other and begin to speak in unison, sharing their thought. They must then justify this new information into the scene.</p>

<h2>Variations</h2>
<ul>
<li>May be played with the referee interrupting the players to have them say “Are you thinking what I’m thinking?”, and give them a one syllable sound to start with.</li>
</ul>","ARE YOU THINKING WHAT I’M THINKING?
“Every so often the players will share a thought, and must justify it into the
world.”
The referee gets a suggestion for the game, and the players start a
neutral scene. Every so often a player says, “Are you thinking what I’m
thinking?” When this is said, all players in the scene look at each other
and begin to speak in unison, sharing their thought. They must then
justify this new information into the scene.
Variations on this Game
●
May be played with the referee interrupting the players to have
them say “Are you thinking what I’m thinking?”, and give them a
one syllable sound to start with.",A-ComedySportz-Games-Manual-v2.2 copy.pdf,,,Not Started,,,
3,BACK TO WHENEVER,Team Games,Interrupt Games,15,15,15,back-to-whenever,"“The players will do a scene, and whenever I want more backstory I can blow my whistle and take the scene back to whenever.”","The referee gets a suggestion for the game and the players begin a neutral scene. Whenever the referee wishes, after a player gives an offer of an event in the past, they may interrupt the scene and declare “Back to ____!” The players will then take the scene back in time to give more backstory to what was said. This repeats as the referee takes us further back in time or back to the present.",Flashback,,,0,,,Auto-extracted - needs human spot check,"<h1>BACK TO WHENEVER</h1>

<h2>Category</h2>
<p>Interrupt Games</p>

<h2>Referee Introduction</h2>
<blockquote><p>“The players will do a scene, and whenever I want more backstory I can blow my whistle and take the scene back to whenever.”</p></blockquote>

<h2>Description</h2>
<p>The referee gets a suggestion for the game and the players begin a neutral scene. Whenever the referee wishes, after a player gives an offer of an event in the past, they may interrupt the scene and declare “Back to ____!” The players will then take the scene back in time to give more backstory to what was said. This repeats as the referee takes us further back in time or back to the present.</p>

<h2>Alternate Names</h2>
<p>Flashback</p>","BACK TO WHENEVER
“The players will do a scene, and whenever I want more backstory I can blow
my whistle and take the scene back to whenever.”
The referee gets a suggestion for the game and the players begin a
neutral scene. Whenever the referee wishes, after a player gives an offer
of an event in the past, they may interrupt the scene and declare “Back
to ____!” The players will then take the scene back in time to give more
backstory to what was said. This repeats as the referee takes us further
back in time or back to the present.
Alternate Names: Flashback",A-ComedySportz-Games-Manual-v2.2 copy.pdf,,,Not Started,,,
4,BIG LITTLE,Team Games,Interrupt Games,16,16,16,big-little,"“The team will do a scene, and throughout it I can blow my whistle and demand they make the scene ‘Little’ or ‘Big’”","A chair or stool is placed on the field. The referee gets a suggestion for the game, and the players begin with a neutral scene. Whenever the referee wishes, they may interrupt the scene to change its size. When “Little,” the players enact the scene using their fingers on the chair, index and middle fingers are to be used as their character’s legs. When “Big,” the players return to their normal size. The size change allows for players to do extraordinary things while “Little,” and these actions shape the new reality.",,,,0,,,Auto-extracted - needs human spot check,"<h1>BIG LITTLE</h1>

<h2>Category</h2>
<p>Interrupt Games</p>

<h2>Referee Introduction</h2>
<blockquote><p>“The team will do a scene, and throughout it I can blow my whistle and demand they make the scene ‘Little’ or ‘Big’”</p></blockquote>

<h2>Description</h2>
<p>A chair or stool is placed on the field. The referee gets a suggestion for the game, and the players begin with a neutral scene. Whenever the referee wishes, they may interrupt the scene to change its size. When “Little,” the players enact the scene using their fingers on the chair, index and middle fingers are to be used as their character’s legs. When “Big,” the players return to their normal size. The size change allows for players to do extraordinary things while “Little,” and these actions shape the new reality.</p>","BIG LITTLE
“The team will do a scene, and throughout it I can blow my whistle and
demand they make the scene ‘Little’ or ‘Big’”
A chair or stool is placed on the field. The referee gets a suggestion for
the game, and the players begin with a neutral scene. Whenever the
referee wishes, they may interrupt the scene to change its size. When
“Little,” the players enact the scene using their fingers on the chair, index
and middle fingers are to be used as their character’s legs. When “Big,”
the players return to their normal size. The size change allows for
players to do extraordinary things while “Little,” and these actions shape
the new reality.",A-ComedySportz-Games-Manual-v2.2 copy.pdf,,,Not Started,,,
5,CHANGING EMOTIONS,Team Games,Interrupt Games,17,17,17,changing-emotions,"“The team will do a scene, and throughout it I can blow my whistle and change the emotional state of one or all of the players.”","The referee gets a list of multiple emotions. They then get a suggestion for the game, and the players begin with a neutral scene. Whenever the referee wishes, they may interrupt the game to layer on one of the emotions. Whenever a new one is given by the referee, the previous emotion is dropped by the players.",,,"●
May be played with the referee getting the suggestions for the changes throughout the scene as opposed to all at once.
●
May be played with the referee assigning the change to only one specific player.
●
May be played with accents instead of emotions. (Called “Accent Roller Coaster” or “Changing Voices”)
●
May be played time periods instead of emotions. (Called “Fabric of Time”)
●
May be played with the referee getting a list of emotions, genres, time periods, voices, etc. (Called “Changing Styles,” “Changing Emotions and Stuff,” or “Changing Genres”)
●
May be played with the previous styles, emotions, and such are layered upon each other. (Called “Pileup”)",6,Fabric of Time; Pileup,,Auto-extracted - needs human spot check,"<h1>CHANGING EMOTIONS</h1>

<h2>Category</h2>
<p>Interrupt Games</p>

<h2>Referee Introduction</h2>
<blockquote><p>“The team will do a scene, and throughout it I can blow my whistle and change the emotional state of one or all of the players.”</p></blockquote>

<h2>Description</h2>
<p>The referee gets a list of multiple emotions. They then get a suggestion for the game, and the players begin with a neutral scene. Whenever the referee wishes, they may interrupt the game to layer on one of the emotions. Whenever a new one is given by the referee, the previous emotion is dropped by the players.</p>

<h2>Variations</h2>
<ul>
<li>May be played with the referee getting the suggestions for the changes throughout the scene as opposed to all at once.</li>
<li>May be played with the referee assigning the change to only one specific player.</li>
<li>May be played with accents instead of emotions. (Called “Accent Roller Coaster” or “Changing Voices”)</li>
<li>May be played time periods instead of emotions. (Called “Fabric of Time”)</li>
<li>May be played with the referee getting a list of emotions, genres, time periods, voices, etc. (Called “Changing Styles,” “Changing Emotions and Stuff,” or “Changing Genres”)</li>
<li>May be played with the previous styles, emotions, and such are layered upon each other. (Called “Pileup”)</li>
</ul>","CHANGING EMOTIONS
“The team will do a scene, and throughout it I can blow my whistle and change
the emotional state of one or all of the players.”
The referee gets a list of multiple emotions. They then get a suggestion
for the game, and the players begin with a neutral scene. Whenever the
referee wishes, they may interrupt the game to layer on one of the
emotions. Whenever a new one is given by the referee, the previous
emotion is dropped by the players.
Variations on this Game
●
May be played with the referee getting the suggestions for the
changes throughout the scene as opposed to all at once.
●
May be played with the referee assigning the change to only one
specific player.
●
May be played with accents instead of emotions. (Called “Accent
Roller Coaster” or “Changing Voices”)
●
May be played time periods instead of emotions. (Called “Fabric
of Time”)
●
May be played with the referee getting a list of emotions, genres,
time periods, voices, etc. (Called “Changing Styles,” “Changing
Emotions and Stuff,” or “Changing Genres”)
●
May be played with the previous styles, emotions, and such are
layered upon each other. (Called “Pileup”)",A-ComedySportz-Games-Manual-v2.2 copy.pdf,,,Not Started,,,
6,CONJUNCTION JUNCTION,Team Games,Interrupt Games,18,18,18,conjunction-junction,"“The team will do a scene, and throughout it I can blow my whistle and ask players to add more to their previous offer with an additional conjunction.”","The referee gets a suggestion for the game, and the players begin with a neutral scene. Whenever the referee wishes, they may interrupt the scene and call on a specific player, giving them a conjunction, such as “and,” “or,” “because,” etc. That player must add to their last offer by expanding upon it utilizing the conjunction given.",,,,0,,,Auto-extracted - needs human spot check,"<h1>CONJUNCTION JUNCTION</h1>

<h2>Category</h2>
<p>Interrupt Games</p>

<h2>Referee Introduction</h2>
<blockquote><p>“The team will do a scene, and throughout it I can blow my whistle and ask players to add more to their previous offer with an additional conjunction.”</p></blockquote>

<h2>Description</h2>
<p>The referee gets a suggestion for the game, and the players begin with a neutral scene. Whenever the referee wishes, they may interrupt the scene and call on a specific player, giving them a conjunction, such as “and,” “or,” “because,” etc. That player must add to their last offer by expanding upon it utilizing the conjunction given.</p>","CONJUNCTION JUNCTION
“The team will do a scene, and throughout it I can blow my whistle and ask
players to add more to their previous offer with an additional conjunction.”
The referee gets a suggestion for the game, and the players begin with a
neutral scene. Whenever the referee wishes, they may interrupt the
scene and call on a specific player, giving them a conjunction, such as
“and,” “or,” “because,” etc. That player must add to their last offer by
expanding upon it utilizing the conjunction given.",A-ComedySportz-Games-Manual-v2.2 copy.pdf,,,Not Started,,,
7,D&D IN THE LIFE,Team Games,Interrupt Games,19,19,19,d-d-in-the-life,“They team will do a scene and every so often they players will ask to see how well they do. I will roll a 20-sided die and the higher the number the better they do.”,"The referee gets a suggestion for a scene, and they begin neutrally. When the players feel like it, they will ask for the referee to “check” how well they do for specific things. These can be reactions, actions, emotional responses, etc. The referee will roll a 20-sided die, and tell the number to the players; on a 1 it is the worse it can possibly go, on a 20 it is the best. Referee may fudge the numbers as they see needed.",,,,0,,,Auto-extracted - needs human spot check,"<h1>D&D IN THE LIFE</h1>

<h2>Category</h2>
<p>Interrupt Games</p>

<h2>Referee Introduction</h2>
<blockquote><p>“They team will do a scene and every so often they players will ask to see how well they do. I will roll a 20-sided die and the higher the number the better they do.”</p></blockquote>

<h2>Description</h2>
<p>The referee gets a suggestion for a scene, and they begin neutrally. When the players feel like it, they will ask for the referee to “check” how well they do for specific things. These can be reactions, actions, emotional responses, etc. The referee will roll a 20-sided die, and tell the number to the players; on a 1 it is the worse it can possibly go, on a 20 it is the best. Referee may fudge the numbers as they see needed.</p>","D&D IN THE LIFE
“They team will do a scene and every so often they players will ask to see how
well they do. I will roll a 20-sided die and the higher the number the better
they do.”
The referee gets a suggestion for a scene, and they begin neutrally.
When the players feel like it, they will ask for the referee to “check” how
well they do for specific things. These can be reactions, actions,
emotional responses, etc. The referee will roll a 20-sided die, and tell the
number to the players; on a 1 it is the worse it can possibly go, on a 20 it
is the best. Referee may fudge the numbers as they see needed.",A-ComedySportz-Games-Manual-v2.2 copy.pdf,,,Not Started,,,
8,DEEPER,Team Games,Interrupt Games,20,20,20,deeper,"“The team will do a scene, and throughout it I can blow my whistle and ask players to add deeper context to their previous offer.”","The referee gets a suggestion for the game, and the players begin with a neutral scene. Whenever the referee wishes, they may interrupt the scene and call on a specific player. That player must add to their last offer, action, or line provide deeper meaning or context by expanding upon it.",,,"●
May be played with the referee calling for the scene to get awkwarder. (Called “Awkwarder”)",1,Awkwarder,,Auto-extracted - needs human spot check,"<h1>DEEPER</h1>

<h2>Category</h2>
<p>Interrupt Games</p>

<h2>Referee Introduction</h2>
<blockquote><p>“The team will do a scene, and throughout it I can blow my whistle and ask players to add deeper context to their previous offer.”</p></blockquote>

<h2>Description</h2>
<p>The referee gets a suggestion for the game, and the players begin with a neutral scene. Whenever the referee wishes, they may interrupt the scene and call on a specific player. That player must add to their last offer, action, or line provide deeper meaning or context by expanding upon it.</p>

<h2>Variations</h2>
<ul>
<li>May be played with the referee calling for the scene to get awkwarder. (Called “Awkwarder”)</li>
</ul>","DEEPER
“The team will do a scene, and throughout it I can blow my whistle and ask
players to add deeper context to their previous offer.”
The referee gets a suggestion for the game, and the players begin with a
neutral scene. Whenever the referee wishes, they may interrupt the
scene and call on a specific player. That player must add to their last
offer, action, or line provide deeper meaning or context by expanding
upon it.
Variations on this Game
●
May be played with the referee calling for the scene to get
awkwarder. (Called “Awkwarder”)",A-ComedySportz-Games-Manual-v2.2 copy.pdf,,,Not Started,,,
9,FORWARD REVERSE,Team Games,Interrupt Games,21,21,21,forward-reverse,"“The team will do a scene, and throughout it I can blow my whistle and change if the scene is going forward in time, or in reverse.”","The referee gets a suggestion for the game, and the players begin with a neutral scene. Whenever the referee wishes, they may interrupt the game and call out ""Reverse!"" When this happens, players must repeat their actions and lines (not words, but lines) in reverse order until the referee calls out ""Forward!"" and the players continue their scene forward.",,,"●
May be played with more commands, similar to those found on a DVD remote. (Called “DVD”)
●
May be played with the players going Reverse in Shakespearean and common English when going Forward. (Called “Forward In Verse”)
●
May be played going fully in reverse for 60-90 seconds, then forward through the whole thing once. (Called “Scene In Reverse”)",3,DVD; Forward In Verse; Scene In Reverse,,Auto-extracted - needs human spot check,"<h1>FORWARD REVERSE</h1>

<h2>Category</h2>
<p>Interrupt Games</p>

<h2>Referee Introduction</h2>
<blockquote><p>“The team will do a scene, and throughout it I can blow my whistle and change if the scene is going forward in time, or in reverse.”</p></blockquote>

<h2>Description</h2>
<p>The referee gets a suggestion for the game, and the players begin with a neutral scene. Whenever the referee wishes, they may interrupt the game and call out ""Reverse!"" When this happens, players must repeat their actions and lines (not words, but lines) in reverse order until the referee calls out ""Forward!"" and the players continue their scene forward.</p>

<h2>Variations</h2>
<ul>
<li>May be played with more commands, similar to those found on a DVD remote. (Called “DVD”)</li>
<li>May be played with the players going Reverse in Shakespearean and common English when going Forward. (Called “Forward In Verse”)</li>
<li>May be played going fully in reverse for 60-90 seconds, then forward through the whole thing once. (Called “Scene In Reverse”)</li>
</ul>","FORWARD REVERSE
“The team will do a scene, and throughout it I can blow my whistle and change
if the scene is going forward in time, or in reverse.”
The referee gets a suggestion for the game, and the players begin with a
neutral scene. Whenever the referee wishes, they may interrupt the
game and call out ""Reverse!"" When this happens, players must repeat
their actions and lines (not words, but lines) in reverse order until the
referee calls out ""Forward!"" and the players continue their scene
forward.
Variations on this Game
●
May be played with more commands, similar to those found on a
DVD remote. (Called “DVD”)
●
May be played with the players going Reverse in Shakespearean
and common English when going Forward. (Called “Forward In
Verse”)
●
May be played going fully in reverse for 60-90 seconds, then
forward through the whole thing once. (Called “Scene In
Reverse”)",A-ComedySportz-Games-Manual-v2.2 copy.pdf,,,Not Started,,,
10,FOURSQUARE,Team Games,Interrupt Games,22,22,22,foursquare,"“In groups of two, the players will do a series of different scenes, when I choose I can blow my whistle and rotate between.”","A team of four forms a square on the field with two in front, and two behind them. The referee will rotate between the pairs for each to get a suggestion. The two in front do a scene based of their suggestion, until the referee interrupts them to rotate left or right to change the scene. When two players are in the front again some amount of time will have passed in between now and when we last saw them.",Four Corners; Four Quadrants; Pan Left,,"●
May be played with three players, and include a volunteer player.
●
May be played with the players behind dubbing for those in front. (Called “Foursquare Dubbing”)
●
May be played with five players, or four with a volunteer player, with the fifth point providing sound effects. (Called “Foursquare Sound Effects”)
●
May be played with a fifth player, or volunteer player, who is in every scene regardless of rotation. (Called “Pretty, Pretty Princess” or “Center Of Attention”)
●
May be played with a musical variation, with each pair singing duets. (Called “Four Crooners” or “Duets”)",5,Foursquare Dubbing; Foursquare Sound Effects,,Auto-extracted - needs human spot check,"<h1>FOURSQUARE</h1>

<h2>Category</h2>
<p>Interrupt Games</p>

<h2>Referee Introduction</h2>
<blockquote><p>“In groups of two, the players will do a series of different scenes, when I choose I can blow my whistle and rotate between.”</p></blockquote>

<h2>Description</h2>
<p>A team of four forms a square on the field with two in front, and two behind them. The referee will rotate between the pairs for each to get a suggestion. The two in front do a scene based of their suggestion, until the referee interrupts them to rotate left or right to change the scene. When two players are in the front again some amount of time will have passed in between now and when we last saw them.</p>

<h2>Alternate Names</h2>
<p>Four Corners; Four Quadrants; Pan Left</p>

<h2>Variations</h2>
<ul>
<li>May be played with three players, and include a volunteer player.</li>
<li>May be played with the players behind dubbing for those in front. (Called “Foursquare Dubbing”)</li>
<li>May be played with five players, or four with a volunteer player, with the fifth point providing sound effects. (Called “Foursquare Sound Effects”)</li>
<li>May be played with a fifth player, or volunteer player, who is in every scene regardless of rotation. (Called “Pretty, Pretty Princess” or “Center Of Attention”)</li>
<li>May be played with a musical variation, with each pair singing duets. (Called “Four Crooners” or “Duets”)</li>
</ul>","FOURSQUARE
“In groups of two, the players will do a series of different scenes, when I choose
I can blow my whistle and rotate between.”
A team of four forms a square on the field with two in front, and two
behind them. The referee will rotate between the pairs for each to get a
suggestion. The two in front do a scene based of their suggestion, until
the referee interrupts them to rotate left or right to change the scene.
When two players are in the front again some amount of time will have
passed in between now and when we last saw them.
Alternate Names: Four Corners; Four Quadrants; Pan Left
Variations on this Game
●
May be played with three players, and include a volunteer player.
●
May be played with the players behind dubbing for those in front.
(Called “Foursquare Dubbing”)
●
May be played with five players, or four with a volunteer player,
with the fifth point providing sound effects. (Called “Foursquare
Sound Effects”)
●
May be played with a fifth player, or volunteer player, who is in
every scene regardless of rotation. (Called “Pretty, Pretty
Princess” or “Center Of Attention”)
●
May be played with a musical variation, with each pair singing
duets. (Called “Four Crooners” or “Duets”)",A-ComedySportz-Games-Manual-v2.2 copy.pdf,,,Not Started,,,
